Country,Year,Food Types,Total Waste in Tons,Food Economic Loss (Million $),Avg Waste per Capita (Kg),Country Population (Million) (Not Accurate),Household Waste (%)
South Africa,2022,Beverages,28529.39,26199.69,64.18,1060.6,39.56
USA,2024,Beverages,28584.45,28500.76,171.68,1002.04,43.86
Russia,2018,Bakery Items,11192.81,10911.49,116.3,1001,67.97
Mexico,2022,Dairy Products,5170.01,6192.15,141.83,911.34,35.81
Germany,2023,Prepared Food,18111.13,20384.84,153.77,244.66,49.65
Spain,2022,Dairy Products,8499.64,8074.29,97.02,1353.16,40.54
South Africa,2022,Prepared Food,12719.37,12611.99,129.64,524.76,51.47
Turkey,2019,Prepared Food,44554.35,43230.52,27.55,48.05,65.45
South Africa,2024,Bakery Items,31998.09,25693.59,196.25,309.62,30.87
Argentina,2024,Prepared Food,13074.51,14667.3,110.13,549.63,63.09
China,2018,Bakery Items,24699.17,29320.94,35.38,531.44,51.94
Saudi Arabia,2020,Frozen Food,30645.38,30122.45,197.42,1100.45,61.06
Saudi Arabia,2021,Frozen Food,23526.64,23209.94,87.44,1162.65,52.83
USA,2020,Grains & Cereals,16008.15,13462.8,22.08,1281.09,58.04
Saudi Arabia,2018,Meat & Seafood,38108.26,40154.24,27.27,1328.63,40.2
UK,2023,Prepared Food,21672.82,24875.84,98.25,192.75,35.49
Brazil,2023,Meat & Seafood,41472.17,35977.69,151.85,615,42.41
Spain,2022,Bakery Items,9297.42,8204.09,185.11,63.16,66.39
Indonesia,2018,Grains & Cereals,10632.45,9498.71,141.98,124.1,69.4
Mexico,2020,Grains & Cereals,32068.51,30062.4,165.92,976.11,38.01
Argentina,2020,Beverages,49889.66,44810.88,133,845.55,69.54
Saudi Arabia,2022,Beverages,15774.47,15802.45,175.73,1024.41,58.37
Turkey,2020,Meat & Seafood,22518.03,19261.94,61.51,995.2,33.52
USA,2019,Fruits & Vegetables,41480.75,48148.62,193.84,487.25,41.93
Italy,2019,Prepared Food,39733.3,45838.23,100.5,900.96,49.16
Spain,2020,Prepared Food,31158.61,27947.03,54.36,1311.48,48.24
UK,2024,Meat & Seafood,17844.4,14300.73,77.12,1234.5,42.94
Indonesia,2021,Frozen Food,1692.54,1448.29,185.96,709.14,69.1
Turkey,2020,Prepared Food,45437.92,48138.04,93.1,862.88,36.54
Russia,2021,Frozen Food,39673.8,40251.01,79.33,796.52,52.15
Japan,2018,Prepared Food,29800.32,26749.98,115.49,1134.61,60.36
India,2021,Grains & Cereals,21702.46,20170.87,155.54,1236.53,66.9
Argentina,2024,Fruits & Vegetables,37037.13,37620.57,26.79,101.88,41.65
Indonesia,2023,Fruits & Vegetables,21279.19,22604.89,160.58,362.46,34.14
UK,2022,Meat & Seafood,10858.33,11545.39,167.61,1338.74,60.65
Japan,2024,Beverages,35367.51,35898.89,47.67,686.95,35.4
Italy,2019,Dairy Products,41606.2,41819.33,44.52,462.16,44.3
South Korea,2020,Beverages,5791.28,6210.37,78.1,668.48,47.48
Indonesia,2020,Meat & Seafood,1562.07,1350.58,131.14,95.66,69.96
Saudi Arabia,2021,Bakery Items,10641.86,11210.1,172.14,377.24,42.85
Russia,2018,Beverages,20985.41,17724.53,103.4,724.74,49.48
UK,2023,Dairy Products,20877.01,22489.55,83.03,786.66,30.15
Canada,2021,Meat & Seafood,37061.96,39742.98,156.63,961.64,51.2
Argentina,2018,Beverages,40365.61,41840.24,188.93,81.87,34.15
Japan,2023,Prepared Food,44053.48,44075.72,33.34,1388.68,61.32
Argentina,2019,Frozen Food,12416.76,14595.25,40.72,926.2,36.97
Spain,2024,Meat & Seafood,18123.51,20935.21,44.6,556.72,30.86
UK,2022,Meat & Seafood,11038.81,11671.56,117.63,494.43,39.87
Turkey,2018,Grains & Cereals,41812.39,46816.13,54.38,1160.97,42.29
China,2019,Dairy Products,23452.17,25246.16,134.02,473.94,36.27
France,2024,Frozen Food,33109.85,39031.62,164.41,1151.56,64.99
Argentina,2019,Beverages,20628.73,19286.35,141.78,1242.17,56.52
South Africa,2021,Meat & Seafood,14380.68,15473.8,113.4,307.45,45.62
Germany,2020,Prepared Food,13442.75,12803.26,183.72,770.14,69.8
Saudi Arabia,2018,Dairy Products,27893.67,33292.57,64.06,208.04,41.17
Indonesia,2024,Fruits & Vegetables,38628.78,39024.03,79.19,1067.24,62.7
USA,2023,Bakery Items,39056.25,37705.58,156.16,338.01,32.47
Brazil,2024,Grains & Cereals,27207.95,27249.53,151.93,153.87,43.24
France,2022,Fruits & Vegetables,35777.37,41960.35,101.92,690.45,65.48
USA,2019,Grains & Cereals,33613.39,39214.03,83.4,913.2,60.67
Russia,2022,Bakery Items,25136.24,23880.07,162.68,662.96,55.93
Spain,2023,Dairy Products,45066.36,43571.49,198.87,376.17,64.61
Germany,2021,Prepared Food,13639.74,13476.61,136.82,899.92,33.12
South Africa,2018,Dairy Products,2037.72,1638.94,122.26,773.89,51.54
Argentina,2024,Beverages,23393.96,24355.11,109.23,108.6,69.81
Russia,2020,Bakery Items,48587.3,50551.02,97.06,951.51,47.97
Indonesia,2024,Frozen Food,15863.75,14755.62,94.25,898.18,55.75
South Africa,2024,Grains & Cereals,44128.03,42983.4,50.66,992.53,61.83
Italy,2021,Beverages,26268.93,30109.97,78.2,621.46,33.76
Brazil,2023,Grains & Cereals,47791.81,47489.1,62.64,721.89,34.17
Russia,2019,Grains & Cereals,14994.51,16037.43,93.43,187.34,56.85
South Africa,2024,Bakery Items,15262.77,14992.95,190.44,1284.1,47.19
Russia,2024,Meat & Seafood,45746.48,52728.75,75.63,311.69,50.13
UK,2020,Prepared Food,44256.46,43115.91,197.67,47.78,56.49
Russia,2018,Frozen Food,46669.86,51765.4,20.85,724.49,32.07
Brazil,2022,Frozen Food,4987.56,4933.79,144.57,459.48,57.33
South Africa,2023,Bakery Items,24515.74,28891.78,150.78,514.75,56.84
Mexico,2018,Grains & Cereals,25406.19,23066.9,85.49,513.48,53.52
South Korea,2019,Dairy Products,36269.09,36585.01,106.24,1033.53,47.25
South Korea,2020,Frozen Food,28400.85,25628.63,148.97,72.19,47.92
Mexico,2020,Meat & Seafood,39391.77,46155.48,117.33,1364.5,34.17
South Korea,2019,Dairy Products,46537.2,54095.34,71.02,164,66.84
Turkey,2023,Dairy Products,9784.34,10088.25,43.8,201.24,42.26
Australia,2020,Bakery Items,18268.34,19207.28,80.37,118.97,30.59
India,2020,Grains & Cereals,29742.34,32808.63,128.84,456.26,65.8
South Africa,2019,Grains & Cereals,44080.31,47663.04,191.1,789.92,32.31
Australia,2024,Prepared Food,43312.69,36537.57,125,275.28,44.99
Indonesia,2019,Fruits & Vegetables,49686.06,52016.48,59.91,363.46,53.82
USA,2022,Beverages,506.76,489.15,149.12,569,59.39
Russia,2019,Beverages,27203.4,22480.38,144.08,1248.59,38.87
Indonesia,2024,Grains & Cereals,20707.63,22686.73,165.69,1269.47,39.46
Argentina,2020,Grains & Cereals,3823.19,3899.25,75.29,477.68,40.53
India,2022,Grains & Cereals,8699.68,8021.62,44.52,760.48,68.35
Saudi Arabia,2023,Prepared Food,3605.46,4044.41,45.06,485.01,45.71
Indonesia,2020,Fruits & Vegetables,20714.29,18866.53,33.3,1197.61,58.27
Germany,2018,Bakery Items,42064.33,49659,77.1,736.15,41.98
Spain,2020,Bakery Items,32115.2,30832.53,109.72,505.72,51.29
Brazil,2018,Frozen Food,11715.38,11968.61,176.68,220.04,49.92
Spain,2019,Dairy Products,2135.08,1776.23,69.37,330.04,49.02
France,2018,Prepared Food,19421.9,17445.45,111.15,128.27,64.63
Brazil,2024,Prepared Food,29820.2,30839.88,93.78,76.33,59.04
South Korea,2020,Dairy Products,8609.98,7648.11,94.45,578.26,59.43
USA,2021,Bakery Items,30491,28714.08,75.76,574.67,62.53
South Korea,2020,Bakery Items,15541.27,14218.52,190.16,538.98,40.12
Turkey,2021,Bakery Items,41832.89,34209.76,185.19,694.63,50.09
Spain,2023,Beverages,12867.49,11675.71,143.76,1362.94,30.38
Mexico,2019,Meat & Seafood,37194.78,43703.78,68.81,775.2,48.2
Mexico,2019,Frozen Food,3993.22,3454.43,151.18,157.71,43.83
Italy,2021,Dairy Products,31182.53,31161.02,183.17,133.34,36
India,2024,Prepared Food,35856.35,42291.85,177.24,989.02,45.6
South Korea,2020,Frozen Food,10405.43,9767.52,186.44,349.28,66.96
Italy,2021,Dairy Products,7672.5,7663.77,32.77,1010.83,59.17
Indonesia,2023,Beverages,37381.05,43622.57,28.71,607,51.34
Italy,2023,Dairy Products,28851.4,25076.78,73.23,689.37,41.97
Spain,2020,Bakery Items,10321.08,10177.93,35.41,902.14,50.09
Indonesia,2019,Grains & Cereals,7894.84,8079.17,23.45,430.07,62.57
India,2024,Prepared Food,11614.12,9959.1,75.21,1290.53,55.98
USA,2018,Bakery Items,40283.96,33458.98,183.93,571.85,31.75
China,2024,Prepared Food,12738.75,11551.29,132.52,807.33,61.92
Turkey,2018,Beverages,24278.95,25035.47,187.54,218.84,64.88
South Korea,2024,Bakery Items,24536.44,24892.3,147.49,305.21,54.25
Canada,2021,Prepared Food,12389.85,10564.07,175.53,348.95,56.96
Germany,2021,Beverages,18818.08,18033.21,181.46,635.14,55.97
Australia,2020,Grains & Cereals,30320.1,32226.91,30.64,675.78,41.38
USA,2020,Beverages,10418.23,11826.26,57.24,627.18,41.05
Saudi Arabia,2021,Prepared Food,13520.77,14479.32,161.71,887.31,53.37
Canada,2018,Beverages,2682.54,3086.07,61.92,707.37,56.4
Mexico,2023,Grains & Cereals,47074.42,50848.46,128.51,124.8,64.75
USA,2021,Frozen Food,1329.45,1078.07,75.85,816.32,32.34
Italy,2021,Prepared Food,10144,10236.01,114.31,1040.3,50.05
Canada,2022,Frozen Food,26936.48,27192.47,93.51,193.61,33.5
Spain,2023,Prepared Food,47691.12,42560.6,97.16,476.43,39.74
Spain,2024,Beverages,11463.72,10968.53,40.79,727.11,50.16
Australia,2021,Bakery Items,6608.38,6213.4,38.13,311.27,53.58
Japan,2023,Dairy Products,47354.14,37996.01,103.25,350.58,50
Brazil,2023,Prepared Food,49231.61,45743.9,43.04,971.47,39.59
USA,2024,Prepared Food,28293.2,27917.29,136.94,1276.82,57.11
Australia,2018,Dairy Products,22602.91,20190.34,83.28,1323.05,68.33
UK,2021,Bakery Items,15393.58,14761.96,181.57,242.72,69.69
Germany,2023,Beverages,29574.47,34769.68,136.65,495.08,51.01
Germany,2023,Beverages,6355.69,6599.21,37.45,821.11,30.92
India,2020,Beverages,17056.13,17884.77,149.27,1382.2,40.42
South Korea,2021,Beverages,40625.93,36992.57,39.86,883.42,52.06
Saudi Arabia,2019,Beverages,3365.2,3182.65,100.43,16.69,69.53
France,2022,Frozen Food,21759.95,20158.29,178.59,267.77,68.79
Turkey,2019,Dairy Products,24930.08,26461.72,127.68,95.47,44.17
Australia,2019,Meat & Seafood,19096.71,18273.39,128.92,481.02,62.67
Germany,2024,Fruits & Vegetables,38728.72,35494.63,160.46,160.58,62.81
Turkey,2018,Beverages,35649.51,30541.38,67.02,653.66,35.02
Japan,2018,Bakery Items,47890.2,49580.18,145.56,668.13,55.47
South Korea,2020,Bakery Items,8003.98,6499.63,75.42,48,57.46
France,2018,Prepared Food,22064.87,20476.45,113.47,243.26,39.82
Germany,2024,Frozen Food,3513.33,4052.67,133.87,363.3,54.85
Canada,2023,Bakery Items,48403.15,54948.5,175.17,160.14,36.3
Canada,2019,Grains & Cereals,18317.53,19745.29,74.4,403.38,33.95
France,2024,Prepared Food,11808.79,9716.69,26.98,929.6,47.29
Spain,2018,Prepared Food,6439.2,5394.1,26.84,93.18,51.99
Spain,2024,Frozen Food,43174.51,44863.41,106.07,1045.29,66.83
Russia,2021,Dairy Products,48267.58,51264.82,36.41,330.84,57.51
Canada,2024,Frozen Food,29213.17,32840.66,196.08,720.28,61.88
Italy,2020,Frozen Food,8903.52,9527.79,47.76,1394.72,38.95
South Korea,2022,Beverages,23262.53,25824.94,75.9,1263.71,30.63
Russia,2023,Fruits & Vegetables,30114.14,35677.05,48.9,609.87,49.16
China,2024,Bakery Items,45901.37,45831.98,85.68,1026.24,49.64
Spain,2019,Meat & Seafood,48620.25,50301.37,173.14,516.41,31.3
Argentina,2020,Grains & Cereals,32827.88,34463.61,140.44,437.66,68.53
Saudi Arabia,2023,Bakery Items,40840.5,38524.82,141.79,1368.67,41.5
Brazil,2023,Prepared Food,18777.45,20043.85,126.6,744.7,41.41
Italy,2023,Meat & Seafood,26903.69,24908.69,35.1,623.3,41.26
USA,2022,Dairy Products,25753.42,25942.47,71.51,577.14,65.23
Indonesia,2019,Dairy Products,27999.75,26735.28,92.09,593.34,33.81
China,2021,Prepared Food,12115.15,14281.97,190.82,58.01,49.03
Argentina,2023,Prepared Food,12372.33,12415.82,138.17,1138.27,52.01
South Africa,2024,Prepared Food,17657.47,18438.18,75.73,276.64,47.82
Germany,2019,Fruits & Vegetables,3536.85,3057.2,48.25,113.82,66.44
Indonesia,2023,Fruits & Vegetables,18031.41,19215.43,85.46,365.47,36.96
Spain,2023,Bakery Items,5790.86,5547.58,28.85,1214.86,45.32
Germany,2018,Fruits & Vegetables,13636.34,15668.2,37.1,979.09,48.46
Argentina,2018,Grains & Cereals,49181.19,58225.68,87.31,222.31,31.87
France,2023,Bakery Items,44497.57,46476.28,172.75,247.47,57
South Korea,2024,Prepared Food,30053.52,34959.69,133.09,1193.69,57.82
Spain,2021,Bakery Items,11568.16,9672.02,97.03,1370.86,33.18
Japan,2020,Frozen Food,5266.26,5549.69,25.38,1303.24,34.66
Argentina,2019,Dairy Products,31877.19,35845.52,130.19,887.49,53.39
USA,2024,Prepared Food,4538.11,4999.14,26.16,932.89,61.71
Germany,2022,Dairy Products,6965.54,6131.14,174.3,84.59,31.59
Turkey,2019,Fruits & Vegetables,27308.53,30169.81,145.63,1217.18,62.68
Italy,2022,Beverages,13803,12865.32,185.07,957.42,66.26
Indonesia,2022,Fruits & Vegetables,2428.52,2418.17,52.27,70.69,61.93
France,2021,Beverages,2584.39,2194.85,43.57,1142.63,62.44
UK,2020,Fruits & Vegetables,17092.31,14508.6,109.47,834.86,57.62
Indonesia,2024,Frozen Food,27988.79,32506.92,60.95,543.37,56.63
Turkey,2018,Dairy Products,28969,23933.02,164.35,855.14,47.29
Argentina,2024,Bakery Items,46936.57,47407.6,87.18,1057.21,35.09
China,2021,Grains & Cereals,3242.71,3746.18,160.22,966.49,39.96
USA,2022,Fruits & Vegetables,46965.32,54387.08,173.34,948.45,44.49
Spain,2024,Fruits & Vegetables,2283.1,2654.6,116.93,344.81,49.01
South Korea,2021,Meat & Seafood,11088.64,11899.26,194.12,67.8,69.17
Japan,2024,Grains & Cereals,1899.36,2058.86,49.89,955.05,55.36
Canada,2020,Meat & Seafood,46552.07,47859.25,52.98,1217.9,41.51
Japan,2024,Meat & Seafood,37391.39,39782.84,133.13,732.21,42.74
Brazil,2022,Bakery Items,7366.15,6829.31,58.14,1384.79,46.29
Russia,2019,Fruits & Vegetables,23779.37,21406.66,46.56,920.09,43.06
Germany,2020,Beverages,10337.47,9683.93,113.35,206.67,68.49
Brazil,2021,Grains & Cereals,41640.33,43340.61,191.43,344.95,65.66
Russia,2019,Prepared Food,21968.71,22440.31,26.83,906.9,56.18
Indonesia,2018,Bakery Items,26762.3,31233.33,118.97,849.75,58.74
Saudi Arabia,2019,Beverages,43125.3,42468.9,137.49,304.73,31.72
Turkey,2022,Fruits & Vegetables,8983.57,7739.29,190.57,146.56,53.63
Spain,2021,Meat & Seafood,7873.09,6701.54,22.45,690.77,40.38
Germany,2024,Frozen Food,24319.52,28927.51,77.55,162.23,34.26
Italy,2021,Dairy Products,18546.11,20056.32,101.23,223.02,37.61
Saudi Arabia,2023,Beverages,7137.78,8416.94,55.96,552.89,35.4
Brazil,2021,Fruits & Vegetables,984.24,1145.43,66.26,250.68,58.75
Japan,2018,Fruits & Vegetables,6945.83,7957.41,138.3,423.6,49.16
Mexico,2020,Grains & Cereals,26627.11,25354.01,192.78,909.69,47.93
South Africa,2023,Frozen Food,18189.87,16385.44,92.06,922.1,46.46
India,2018,Beverages,20373.65,16421.79,152.54,1319.83,38.46
Canada,2019,Grains & Cereals,16467.12,17287.74,27.18,445.21,49.26
Argentina,2019,Dairy Products,21037.73,22514.98,153.85,1030.98,36.13
Indonesia,2019,Meat & Seafood,36073.05,31463.71,169.16,1279.81,60.87
Germany,2020,Bakery Items,3079.36,3527,195.07,782.84,64.31
South Korea,2024,Prepared Food,35706.01,31406.22,162.59,1276.55,56.51
Canada,2023,Beverages,5754.93,4784.14,79.15,313.05,63.89
China,2020,Beverages,13026.67,13313.56,158.25,1052.69,58.18
India,2020,Fruits & Vegetables,3279.14,2760.93,35.35,726.66,54.27
Spain,2023,Frozen Food,13016.73,15553.12,92.19,746.25,40.14
Spain,2019,Meat & Seafood,9304.41,8444,140.98,148.06,68.98
UK,2024,Frozen Food,20686.92,24116.77,84.96,894.16,46.65
Turkey,2019,Meat & Seafood,48460.2,51958.64,102.93,900.43,66.22
South Korea,2020,Fruits & Vegetables,39265.39,44449.77,157.66,509.82,48.73
South Africa,2018,Prepared Food,8152.32,7400.81,138.08,1378.44,34.37
USA,2022,Bakery Items,22652.62,25093.08,123.3,1249.55,64.54
USA,2019,Prepared Food,38067.96,31816.14,35.07,341.19,51.86
UK,2022,Frozen Food,35280.5,35456.5,199.44,859.08,60.34
Japan,2018,Frozen Food,1788.01,1952.56,159.02,430.13,68.52
Spain,2020,Bakery Items,9646.2,9480.76,116.66,138.98,63.29
Turkey,2022,Meat & Seafood,41263.64,35583.19,37.78,417.22,40.68
Russia,2022,Grains & Cereals,6234.85,7062.98,21.23,508.75,64.79
India,2019,Frozen Food,45354.77,41336.72,99.36,464.47,69.32
Spain,2019,Prepared Food,9084.03,9204.48,170.75,1145.19,69.71
Spain,2021,Meat & Seafood,10339.44,10235.95,55.67,884.98,43.93
Saudi Arabia,2018,Grains & Cereals,41688.48,39891.05,116.11,516.22,62.66
Spain,2018,Beverages,48530.06,49974.84,58.56,652.6,69.91
Argentina,2024,Prepared Food,22659.37,26691.89,78.15,1129.9,56.07
China,2020,Grains & Cereals,49413.98,43555.28,171.55,664.24,47.65
South Korea,2023,Grains & Cereals,27421.17,22348.6,84.8,915.98,35.38
Turkey,2024,Grains & Cereals,14393.52,12636.77,189.58,407.1,31.49
Mexico,2022,Bakery Items,16359,17432.88,197.08,525.36,49.28
Canada,2023,Meat & Seafood,8175.92,8432.6,34.19,294.24,30.73
Argentina,2023,Beverages,41797.93,40312.72,74.46,448.26,57.45
Spain,2019,Beverages,11452.87,9426.67,146.18,175.76,61.91
Japan,2024,Frozen Food,28821.56,29584.17,152.78,1080.56,59.78
Indonesia,2019,Beverages,26800.13,30406.55,118.95,1329.37,40.47
South Korea,2021,Grains & Cereals,29613.99,33330.62,71.21,684.81,37.55
Spain,2024,Prepared Food,12524.47,10671.38,180.96,1153.44,51.93
Russia,2024,Fruits & Vegetables,563.82,483.7,87.46,936.48,53.48
Mexico,2023,Frozen Food,24218.15,20941.25,143.37,1258.71,36.81
China,2018,Frozen Food,23253.2,19750.56,160.16,424.13,51.44
Saudi Arabia,2024,Grains & Cereals,45925.08,47953.86,99.48,1383.18,60
Brazil,2023,Meat & Seafood,15173.08,12308.37,130.24,878.37,54.07
South Korea,2021,Prepared Food,46712.67,55490.15,46.92,680.42,43.78
Canada,2018,Dairy Products,48132.63,51767.74,54.74,254.66,35.77
Indonesia,2018,Beverages,30206.43,26359.24,92.82,99.54,38.44
India,2023,Frozen Food,44284.99,38861.06,51.28,908.33,55.69
Turkey,2022,Fruits & Vegetables,10766.12,10972.16,182.51,118.34,32.3
Saudi Arabia,2022,Grains & Cereals,13946.56,16195.95,29.15,384.94,52.54
France,2019,Bakery Items,46493.22,52602.35,57.27,233.64,61.29
South Korea,2024,Beverages,16128.56,14838.72,75.31,106.57,56.83
Russia,2022,Prepared Food,43572.95,41125.1,140.18,821.32,57.11
India,2023,Beverages,23087.01,27030.78,78.16,424.13,54.91
India,2020,Beverages,27248.63,23242.07,147.17,159,33.27
Indonesia,2022,Meat & Seafood,27393.87,28681.65,140.04,360.21,53.1
South Africa,2019,Fruits & Vegetables,43281.52,50252.44,185.32,81.76,52.45
Australia,2019,Grains & Cereals,36721.58,40889.92,63.82,956.39,39.92
Japan,2022,Prepared Food,3620.29,3800.3,151.72,910.07,59.25
India,2021,Frozen Food,39092.72,40546.57,61.05,1332.14,46.3
Germany,2019,Meat & Seafood,7411.92,6561.36,157.02,1000.4,53.01
China,2022,Bakery Items,13434.62,15556.38,69.43,1265.99,34.42
Russia,2020,Prepared Food,16766.82,14111.79,87.29,1249.21,32.38
Australia,2018,Prepared Food,12653.2,10610.5,67.69,1173.85,69.51
Saudi Arabia,2024,Bakery Items,19816.91,22843.49,22.03,1125.39,60.82
Russia,2024,Fruits & Vegetables,48862.19,39240.6,182.57,1164.68,53.72
China,2021,Grains & Cereals,1104.25,1183.95,166.83,467.86,56.51
USA,2024,Frozen Food,36454.83,36970.89,92.61,1282.4,42.42
Brazil,2021,Prepared Food,44803.48,42804.14,53.62,801.62,36.29
UK,2021,Grains & Cereals,17602.49,20594.52,104.77,1101.1,30.96
Canada,2022,Grains & Cereals,37200.74,41753.73,57.46,1337.2,31.29
Mexico,2018,Prepared Food,28281.34,25850.04,64.67,474.26,51.14
Germany,2024,Frozen Food,33695.26,38272.43,152.54,1396.52,68.04
Mexico,2018,Frozen Food,31139.18,35388.31,74.88,355.39,41.01
UK,2023,Frozen Food,40742.24,41870.59,130.91,269.85,32.64
Saudi Arabia,2023,Bakery Items,48092.85,49579.36,177.78,902.87,51.75
Saudi Arabia,2019,Grains & Cereals,35115.79,34821.66,93.46,630.41,40.4
South Africa,2022,Beverages,37881.41,38285.5,75.96,693.08,52.16
Canada,2023,Dairy Products,3006.19,3128.94,192.61,989.04,49.17
USA,2019,Dairy Products,31107.05,31908.1,27.68,824.31,50.97
Mexico,2023,Fruits & Vegetables,7025.55,5854.36,154.08,633.21,60.45
France,2021,Frozen Food,41055.24,46163.54,62.8,263.23,65.28
Russia,2021,Prepared Food,40760.94,44617.65,112.68,753.08,66.46
Japan,2020,Fruits & Vegetables,27461.24,32352.81,196.66,1067.42,68.78
India,2022,Dairy Products,39749.49,36414.43,103.6,556.56,40.84
Argentina,2021,Fruits & Vegetables,29875.75,31760.8,43.69,85.71,53.01
Turkey,2018,Grains & Cereals,48194.34,52444.24,63.53,869.55,60.76
China,2020,Fruits & Vegetables,4877.08,4588.33,55.31,282.97,36.98
South Korea,2018,Frozen Food,15863.51,13642.08,176.76,265.59,36.8
Canada,2021,Dairy Products,16562.57,19826.28,196.6,1273.65,63.82
Argentina,2021,Grains & Cereals,39645.51,41360.79,48.33,874.89,36.69
Spain,2024,Frozen Food,38121.7,40311.64,198.79,604.01,68.25
Spain,2022,Dairy Products,22076.13,23085.51,146.49,500.08,69.31
Canada,2018,Grains & Cereals,27125.92,23214.43,196.38,721.51,51.72
UK,2023,Frozen Food,43341.18,50022.11,134.44,845.7,35.4
China,2022,Bakery Items,17883.92,20562.78,70.73,493.07,61.99
Mexico,2023,Dairy Products,17959.47,17095.59,196.54,286.94,56.39
South Korea,2022,Frozen Food,44421.56,52735.74,49.55,289.01,67.15
Italy,2024,Bakery Items,30882.6,27595.88,97.22,250.83,56.52
Mexico,2023,Bakery Items,47661.94,40313.2,147.01,173.82,57.07
Saudi Arabia,2021,Beverages,38589.78,41102.41,53.93,1136.34,35.15
South Korea,2019,Bakery Items,16133.77,17173.33,28.34,1334.08,46.28
India,2022,Prepared Food,16898.09,18118.42,169.95,151.66,63.02
France,2024,Prepared Food,41760.67,39426.82,176.93,681.6,56.6
UK,2018,Beverages,15294.75,12948.79,139.72,321.28,59.1
UK,2022,Grains & Cereals,46158.97,41857.98,86.73,661.77,68.1
Australia,2024,Bakery Items,45135.33,41771.59,173.04,1306.91,38.21
France,2024,Dairy Products,46191.21,42204.85,88.13,1011.99,58.09
Indonesia,2022,Beverages,39179.76,41903.84,20.53,853.93,55.68
Russia,2024,Grains & Cereals,26250.32,25541.43,116.24,536.73,42.45
Italy,2018,Meat & Seafood,14971,14851.57,41.03,471.21,51.94
Italy,2023,Bakery Items,30733.72,33769.58,120.73,1189.92,61.7
Indonesia,2020,Frozen Food,12872.9,14389.09,51.67,482.92,32.04
Canada,2024,Meat & Seafood,4882.01,4313.83,180.47,1137.07,43.28
Mexico,2022,Frozen Food,10530.07,9172.97,136.9,511.7,55.72
India,2019,Frozen Food,41436.19,47060.96,60.12,656.08,65.07
China,2023,Beverages,48055.47,55114.24,187.57,499.69,63.2
Italy,2019,Prepared Food,30533.92,35859.64,84.32,523.85,36.06
China,2020,Frozen Food,23132.37,22896.66,73.54,545.84,65.67
China,2023,Meat & Seafood,8890.9,9996.09,151.08,523.31,58.67
South Korea,2021,Fruits & Vegetables,24188.93,24435.03,143.67,303.25,37.61
India,2018,Dairy Products,16990.14,17413.05,85.81,644.92,69.58
UK,2024,Bakery Items,6558.35,5615.49,57.99,1049.71,56.6
Italy,2023,Dairy Products,37860.05,41876.1,27.72,631.05,65.08
Mexico,2022,Dairy Products,2835.61,2322.24,64.81,1090.54,39.7
Germany,2021,Meat & Seafood,40465.31,36708,175.49,1316.85,69.86
Germany,2021,Frozen Food,45273.31,41425,140.42,1230.11,62.18
Brazil,2019,Fruits & Vegetables,12175.41,12256.12,117.2,460.97,69.4
France,2020,Prepared Food,44669.12,48458.67,79.45,26.65,54.77
Canada,2023,Grains & Cereals,15877.32,17233.58,84.86,46.27,33.7
USA,2024,Frozen Food,6575.91,6249.36,118.44,635.65,63.01
Russia,2023,Beverages,28516.52,26477.35,110.39,1151.44,43.3
South Korea,2024,Beverages,2971.47,3030.6,39.05,352.07,45.35
Brazil,2020,Prepared Food,40147.89,33275.99,151.63,856.99,60.92
South Africa,2023,Beverages,24558.37,28500.24,140.45,576.19,58.53
Spain,2020,Fruits & Vegetables,1089.46,1083.93,78.59,412.57,46.61
South Africa,2024,Prepared Food,13227.42,14726.89,179.67,16.93,41.71
China,2023,Meat & Seafood,19338.41,20365.97,190.1,424.67,31.52
China,2021,Meat & Seafood,4036.49,3560.08,88.34,279.31,68.76
Russia,2023,Grains & Cereals,1207.37,1390.41,128.87,1061.17,67.48
Italy,2020,Grains & Cereals,23225.05,26503.44,52.02,493.99,46.13
Italy,2024,Fruits & Vegetables,2474.83,2663.13,91.22,1382.17,58.15
USA,2019,Dairy Products,40559.42,44726.11,179.04,565.32,30.8
Russia,2023,Meat & Seafood,4618.68,5138.08,69.78,280.37,53.06
India,2023,Beverages,1634.45,1960.97,71.68,23.17,54.52
France,2023,Beverages,45126.17,49357.92,156.41,1162.42,33.92
Spain,2021,Meat & Seafood,45374.16,46143.9,182.49,1199.9,64.61
Argentina,2020,Beverages,48449.26,47672.6,136.74,331.37,51.84
Spain,2024,Prepared Food,1732.31,1610.76,195.49,684.97,66.98
Indonesia,2024,Dairy Products,18682.94,16863.27,69.9,1362.25,67.05
Germany,2021,Dairy Products,13763.66,13534.15,159.82,1279.45,59.98
Turkey,2021,Fruits & Vegetables,21211.62,22934.32,23.56,462.99,52.05
Spain,2021,Meat & Seafood,34559.81,30645.51,160.72,744.61,41.14
France,2020,Dairy Products,6103.15,5286.27,105.48,998.77,44.34
France,2021,Grains & Cereals,3737.96,4130.64,149.56,198.66,34.87
UK,2024,Bakery Items,46857.01,53113.51,114.12,518.64,36.55
China,2023,Prepared Food,4611.94,4929.34,41.21,53.58,58.18
Turkey,2020,Beverages,43480.95,38449.02,165.29,734.49,38.91
Turkey,2020,Bakery Items,42834.82,34838.16,92.86,234.89,43.7
